ID_CLIENTE,CLAVE_CLIENTE,NOMBRE_CLIENTE,CLAVE_PAIS,DIRECCION,FECHA_ALTA,FECHA_MODIFICA,ACTIVO
117,A_BASE,Arrendadora Base,MX,,2023-07-20 00:00:00.000,2023-07-20 00:00:00.000,1
12,ACTINVER,"BANCO ACTINVER, S.A.",MX,,2023-02-01 07:33:22.463,2023-02-01 07:33:22.463,1
124,AFFLUX,Afflux Capital S.A.P.I. de C.V.,MX,,2023-08-31 00:00:00.000,2023-08-31 00:00:00.000,1
3,ALPURA,Alpura,MX,,2023-01-31 11:02:17.350,2023-01-31 11:02:17.350,1
20,AMEX,"AMERICAN EXPRESS BANK MEXICO, S.A.",MX,,2023-02-01 07:33:22.480,2023-02-01 07:33:22.480,0
6,AZTECA,"BANCO AZTECA, S.A.",MX,,2023-02-01 07:33:22.463,2023-02-01 07:33:22.463,1
2,BAC,BAC Credomatic,GT,,2023-01-31 11:02:17.350,2023-01-31 11:02:17.350,1
11,BAM,"BANCO AUTOFIN MEXICO, S.A.",MX,,2023-02-01 07:33:22.463,2023-02-01 07:33:22.463,1
33,BANCOMEXT,BANCO NACIONAL DE COMERCIO EXTERIOR S.N.C.,MX,,2023-02-01 07:33:22.480,2023-02-01 07:33:22.480,1
14,BANCOPPEL,"BANCOPPEL, S.A.",MX,,2023-02-01 07:33:22.480,2023-02-01 07:33:22.480,1
18,BANCREA,"BANCO BANCREA, S.A.",MX,,2023-02-01 07:33:22.480,2023-02-01 07:33:22.480,1
17,BANKAOOL,"BANKAOOL, S.A.",MX,,2023-02-01 07:33:22.480,2023-02-01 07:33:22.480,1
53,BANPAIS,BANPAIS,HND,,2023-02-01 07:33:22.493,2023-02-01 07:33:22.493,1
10,BANSI,"BANSI, S.A.",MX,,2023-02-01 07:33:22.463,2023-02-01 07:33:22.463,1
16,BASE,"BANCO BASE, S.A.",MX,,2023-02-01 07:33:22.480,2023-02-01 07:33:22.480,1
44,BEPENSA,FINANCIERA BEPENSA,MX,,2023-02-01 07:33:22.493,2023-02-01 07:33:22.493,0
52,BI,BANCO INDUSTRIAL,MX,,2023-02-01 07:33:22.493,2023-02-01 07:33:22.493,0
121,BIBP,BI Bank Panama,PAN,,2023-07-20 00:00:00.000,2023-07-20 00:00:00.000,0
120,BIES,BI El Salvador,ES,,2023-07-20 00:00:00.000,2023-07-20 00:00:00.000,1
119,BIG,BI Guatemala,GT,,2023-07-20 00:00:00.000,2023-07-20 00:00:00.000,0
115,BINEO,BINEO,MX,,2023-07-03 00:00:00.000,2023-07-03 00:00:00.000,1
106,BITSO,BITSO (NVIO),MX,,2023-03-21 00:00:00.000,2023-03-21 00:00:00.000,1
28,BNP,"BNP PARIBAS MEXICO, S.A.",MX,,2023-02-01 07:33:22.480,2023-02-01 07:33:22.480,1
25,BOC,"BANK OF CHINA MEXICO, S.A.",MX,,2023-02-01 07:33:22.480,2023-02-01 07:33:22.480,1
131,BRADESCO,"BRADESCARD MÉXICO, S. DE R.L.",MX,,2023-11-24 00:00:00.000,2023-11-24 00:00:00.000,1
107,BROXEL,"Financiera Broxel, SA de CV, SFP",MX,,2023-01-18 00:00:00.000,2023-04-18 00:00:00.000,0
123,BTG PACTUAL,BTG Pactual Casa de Bolsa S.A. de C.V,MX,,2023-08-24 00:00:00.000,2023-08-24 00:00:00.000,1
110,BW,Bajaware MX,MX,,2023-05-04 00:00:00.000,1900-01-01 00:00:00.000,1
125,BWGT,Bajaware GT,GT,,2023-09-19 00:00:00.000,2023-09-19 00:00:00.000,1
9,BXMAS,"BANCO VE POR MAS, S.A.",MX,,2023-02-01 07:33:22.463,2023-02-01 07:33:22.463,1
36,CETELEM,CETELEM,MX,,2023-02-01 07:33:22.480,2023-02-01 07:33:22.480,0
15,CIBANCO,"CIBANCO, S.A.",MX,,2023-02-01 07:33:22.480,2023-02-01 07:33:22.480,1
105,CITIBANAMEX,CITIBANAMEX,MX,,2023-02-01 09:23:42.193,2023-02-01 09:23:42.193,1
1,CPM,Caja Popular Mexicana,MX,,2023-01-31 11:02:17.350,2023-01-31 11:02:17.350,1
116,DD360,"DD3 Hipotecaria, S.A. de C.V., SOFOM E.N.R",MX,,2023-07-19 00:00:00.000,2023-07-19 00:00:00.000,1
133,DEEP DIVE,DIVE - Darmesa Tecnología SA de CV,MX,,2024-08-29 00:00:00.000,2024-08-29 00:00:00.000,1
114,DEMO,DEMOSTRACION,MX,,2023-06-13 09:40:30.747,2023-06-13 09:40:30.747,1
