ID_CONTRATO,CLAVE_CONTRATO,NOMBRE_CONTRATO,FECHA_ALTA,FECHA_MODIFICA,CLAVE_CLIENTE,CLAVE_PLATAFORMA
5,00000- 01112022-L,CONTRATO DE REVOLUT 1,2023-02-01 00:00:00.000,2023-02-01 00:00:00.000,REVOLUT,RW5_NET
10,01052020-000145-L,CONTRATO DE BASE 1,2023-02-01 14:06:28.297,2023-02-01 14:06:28.297,BASE,RW5_NET
38,04032020-CSR19-L,Contrato SPIN by OXXO,2023-10-06 00:00:00.000,2023-10-06 00:00:00.000,OXXO,RW5_NET
39,04032020-MER99-S,Contrato Mercado Libre,2023-10-06 00:00:00.000,2023-10-06 00:00:00.000,ML,RW5_NET
26,05102015-000133-L,Contrato BNP Paribas 1,2023-08-21 00:00:00.000,2023-08-21 00:00:00.000,BNP,RW5_NET
6,05102015-00133-L,CONTRATO ACTINVER BM 1,2023-02-01 14:06:28.297,2023-02-01 14:06:28.297,ACTINVER,RW5_NET
16,05102015-00133-S,CONTRATO DE CETELEM 1,2023-03-06 00:00:00.000,2023-03-06 00:00:00.000,CETELEM,RW5_NET
37,07062018-40-162-L,Contrato KEB HANA,2023-10-06 00:00:00.000,2023-10-06 00:00:00.000,KEBHANA,RW5_NET
21,08092020-40127-L,Contrato Banco Azteca 1,2023-08-08 00:00:00.000,2023-08-08 00:00:00.000,AZTECA,RW5_NET
36,11012019-040132-L,Contrato MULTIVA ,2023-10-06 00:00:00.000,2023-10-06 00:00:00.000,MULTIVA,RW5_NET
35,120723-40-165-L,Contrato BINEO 1,2023-05-10 00:00:00.000,2023-05-10 00:00:00.000,BINEO,RW5_NET
12,13062016-00X-L,CONTRATO DE BOC 1,2023-02-01 14:06:28.297,2023-02-01 14:06:28.297,BOC,RW5_NET
42,13092016-000128-L,Contrato BAM,2023-10-09 00:00:00.000,2023-10-09 00:00:00.000,BAM,RW5_NET
40,13112019-Edenred,Contrato Edenred,2023-10-06 00:00:00.000,2023-10-06 00:00:00.000,EDENRED,RW5_NET
66,174-2020,Contrato NAFIN,2025-03-19 00:00:00.000,2025-03-19 00:00:00.000,NAFIN,RW5_NET
17,20102022-27-030-L,Contrato Broxel 1,2023-01-18 00:00:00.000,2023-04-18 00:00:00.000,BROXEL,RW5_NET
24,23012017-00-L,Contrato Metrofinanciera 1,2023-08-08 00:00:00.000,2023-08-08 00:00:00.000,METRO,RW5_NET
44,23092014-040152-L,Contrato BANCREA,2023-10-12 00:00:00.000,2023-10-12 00:00:00.000,BANCREA,RW5_NET
41,25062021-065-FOD-L,Contrato OneCard,2023-10-06 00:00:00.000,2023-10-06 00:00:00.000,OneCard,RW5_NET
62,27-0000- 042024-SAAS XEPELIN,Xepelin SaaS,2024-05-30 00:00:00.000,2024-05-30 00:00:00.000,XEPELIN,RW5_NET
34,28062019-000143-L,Contrato CIBanco,2023-05-10 00:00:00.000,2023-05-10 00:00:00.000,CIBANCO,RW5_NET
22,29042022-68-067-L,Contrato Bepensa 1,2023-08-08 00:00:00.000,2023-08-08 00:00:00.000,BEPENSA,RW5_NET
43,29102021-68-062-L,Contrato SOFOPLUS,2023-10-12 00:00:00.000,2023-10-12 00:00:00.000,SOFOPLUS,RW5_NET
19,4500833513,Contrato TOTAL PLAY 1,2023-02-27 00:00:00.000,2023-02-27 00:00:00.000,TOTAL PLAY,RW5_NET
4,5600032321,CONTRATO DE SANTANDER 1,2023-02-01 14:06:28.297,2023-02-01 14:06:28.297,SANTANDER,RW6_JAVA
29,65-034-18082023-L,Contrato KLU 1,2023-08-22 00:00:00.000,2023-08-22 00:00:00.000,KLU IFPE,RW5_NET
28,BANCOPPEL SICC 26112013,Contrato Bancoppel 1,2023-08-22 00:00:00.000,2023-08-22 00:00:00.000,BANCOPPEL,RW5_NET
45,BANSI 01012016,Contrato BANSI,2023-10-13 00:00:00.000,2023-10-13 00:00:00.000,BANSI,RW5_NET
54,BRAD - P14072023 - ,Contrato Bradesco,2023-11-24 00:00:00.000,2023-11-24 00:00:00.000,BRADESCO,RW5_NET
46,BxMAS 0103212,Contrato VE por MAS,2023-10-13 00:00:00.000,2023-10-13 00:00:00.000,BXMAS,RW5_NET
3,CONT_ALPURA_1,CONTRATO DE ALPURA 1,2023-02-01 14:06:28.297,2023-02-01 14:06:28.297,ALPURA,RW5_NET
2,CONT_BAC_1,CONTRATO DE BAC 1,2023-02-01 14:06:28.297,2023-02-01 14:06:28.297,BAC,RW5_NET
25,CONT_CITIBANAMEX_COMPLETO,Contrato CITIBANAMEX Completo,2023-08-11 00:00:00.000,2023-08-11 00:00:00.000,CITIBANAMEX,RW6_JAVA
