ID_CONTRATO_REPORTE,CLAVE_CONTRATO,CLAVE_REP,FECHA_ESTIMADA_QA,FECHA_INSTALADO_QA,FECHA_ESTIMADA_CERT,FECHA_CERTIFICADO,FECHA_ESTIMADA_PROD,FECHA_INSTALADO_PROD,ETAPA,EN_USO
1074,00000- 01112022-L,MX_BM_ACLME_ACLME_01,2023-10-15,,2023-10-27,,2023-11-09,,1,SI
1075,00000- 01112022-L,MX_BM_ACLME_ACLME_02,2023-10-15,,2023-10-27,,2023-11-09,,1,SI
1076,00000- 01112022-L,MX_BM_ACLME_ACLME_03,2023-10-15,,2023-10-27,,2023-11-09,,1,SI
1077,00000- 01112022-L,MX_BM_ACLME_ACLME_04,2023-10-15,,2023-10-27,,2023-11-09,,1,SI
1078,00000- 01112022-L,MX_BM_ACLME_ACLME_05,2023-10-15,,2023-10-27,,2023-11-09,,1,SI
1079,00000- 01112022-L,MX_BM_ACLME_ACLME_06,2023-10-15,,2023-10-27,,2023-11-09,,1,SI
1080,00000- 01112022-L,MX_BM_ACLME_ACLME_07,2023-10-15,,2023-10-27,,2023-11-09,,1,SI
1081,00000- 01112022-L,MX_BM_ACLME_ACLME_08,2023-10-15,,2023-10-27,,2023-11-09,,1,SI
1082,00000- 01112022-L,MX_BM_ACLME_ACLME_09,2023-10-15,,2023-10-27,,2023-11-09,,1,SI
1083,00000- 01112022-L,MX_BM_ACLME_ACLME_10,2023-10-15,,2023-10-27,,2023-11-09,,1,SI
1029,00000- 01112022-L,MX_BM_ACM_ACM_01,2023-07-14,,2023-07-31,,2023-08-15,,1,SI
1030,00000- 01112022-L,MX_BM_ACM_ACM_02,2023-07-14,,2023-07-31,,2023-08-15,,1,SI
1038,00000- 01112022-L,MX_BM_CAPTACION_CCV_01,2023-06-27,,2023-07-11,,2023-07-29,,1,SI
1045,00000- 01112022-L,MX_BM_CAPTACION_MDEF_01,2023-06-27,,2023-07-11,,2023-07-29,,1,NO
1046,00000- 01112022-L,MX_BM_CAPTACION_MDEF_02,2023-06-27,,2023-07-11,,2023-07-29,,1,NO
1047,00000- 01112022-L,MX_BM_CAPTACION_MDEF_03,2023-06-27,,2023-07-11,,2023-07-29,,1,NO
1048,00000- 01112022-L,MX_BM_CAPTACION_MDEF_04,2023-06-27,,2023-07-11,,2023-07-29,,1,NO
1049,00000- 01112022-L,MX_BM_CAPTACION_MDEF_05,2023-06-27,,2023-07-11,,2023-07-29,,1,NO
1036,00000- 01112022-L,MX_BM_CAPTACION_OCIME_01,2023-06-27,,2023-07-11,,2023-07-29,,1,SI
1037,00000- 01112022-L,MX_BM_CAPTACION_OCIME_02,2023-06-27,,2023-07-11,,2023-07-29,,1,SI
1035,00000- 01112022-L,MX_BM_CAPTACION_OCIMN_02,2023-06-27,,2023-07-11,,2023-07-29,,1,SI
1042,00000- 01112022-L,MX_BM_CAPTACION_SISPAGOS_00,2023-06-27,,2023-07-11,,2023-07-29,,1,SI
1043,00000- 01112022-L,MX_BM_CAPTACION_SISPAGOS_ING,2023-06-27,,2023-07-11,,2023-07-29,,1,SI
1039,00000- 01112022-L,MX_BM_CAPTACION_TPA_00,2023-06-27,,2023-07-11,,2023-07-29,,1,SI
1040,00000- 01112022-L,MX_BM_CAPTACION_TRANSFINT_01,2023-06-27,,2023-07-11,,2023-07-29,,1,SI
1041,00000- 01112022-L,MX_BM_CAPTACION_TRANSFINT_02,2023-06-27,,2023-07-11,,2023-07-29,,1,SI
1033,00000- 01112022-L,MX_BM_CAPTACIONCAP_OCIMN_01,2023-06-27,,2023-07-11,,2023-07-29,,1,SI
1034,00000- 01112022-L,MX_BM_CAPTACIONINT_OCIMN_01,2023-06-27,,2023-07-11,,2023-07-29,,1,SI
