ID_INVENTARIO_REPORTE,CLAVE_REP,PAIS,ENTIDAD_REGULADA,REGULADOR,SERIE,SUBSERIE,GRUPO,NOMBRE,SECCION,VERSION,PERIODO,DESCRIPCION,FECHA_ENTREGA,CARACTERISTICAS,REGULACION_REPORTE,FECHA_ALTA,FECHA_ACTUALIZADA,CLAVE_REPORTE_GENERAL,FECHA_REGULACION,VIGENTE
322,GT_BM_AC_AC_00_21,GT,BM,SUPER,AC,,OPERATIVOS,AC,00,21,06-ANUAL,AC INFORMACIÓN DE ACCIONISTAS,NULL,,AC_SIB_14-2007,2023-02-01 00:00:00.000,2023-02-01 00:00:00.000,GT_BM_AC_AC_00,,True
323,GT_BM_AD_AD_00_21,GT,BM,SUPER,AD,,CONTABLES,AD,00,21,06-ANUAL,AD ACTIVOS EXTRAORDINARIOS COMPLEMENTO,NULL,,AC_SIB_14-2007,2023-02-01 00:00:00.000,2023-02-01 00:00:00.000,GT_BM_AD_AD_00,,True
324,GT_BM_AE_AE_00_21,GT,BM,SUPER,AE,,CONTABLES,AE,00,21,06-ANUAL,AE ACTIVOS EXTRAORDINARIOS,NULL,,AC_SIB_14-2007,2023-02-01 00:00:00.000,2023-02-01 00:00:00.000,GT_BM_AE_AE_00,,True
314,GT_BM_AG_AG_00_21,GT,BM,SUPER,AG,,OPERATIVOS,AG,00,21,05-TRIM,AGENTES BANCARIOS (ARCHIVO 1),NULL,,AC_SIB_14-2007,2023-02-01 00:00:00.000,2023-02-01 00:00:00.000,GT_BM_AG_AG_00,,True
305,GT_BM_BC1_BC1_00_21,GT,BM,SUPER,BC1,,OPERATIVOS,BC1,00,21,03-MENS,BC1 INFORMACIÓN DE BANCOS CORRESPONSALES DEL EXTERIOR,NULL,,AC_SIB_14-2007,2023-02-01 00:00:00.000,2023-03-01 00:00:00.000,GT_BM_BC1_BC1_00,,True
306,GT_BM_BC2_BC2_00_21,GT,BM,SUPER,BC2,,OPERATIVOS,BC2,00,21,03-MENS,BC2 INFORMACIÓN DE BANCOS CORRESPONSALES DEL EXTERIOR,NULL,,AC_SIB_14-2007,2023-02-01 00:00:00.000,2023-02-01 00:00:00.000,GT_BM_BC2_BC2_00,,True
276,GT_BM_BS_BS_00_21,GT,BM,SUPER,BS,,CONTABLES,BS,00,21,01-DIA,BS Balance de Saldos,NULL,,AC_SIB_14-2007,2023-02-01 00:00:00.000,2023-03-01 00:00:00.000,GT_BM_BS_BS_00,,True
315,GT_BM_CA_CA_00_21,GT,BM,SUPER,CA,,OPERATIVOS,CA,00,21,05-TRIM,CA COMPLEMENTARIO AGENTES BANCARIOS (ARCHIVO 2),NULL,,AC_SIB_14-2007,2023-02-01 00:00:00.000,2023-02-01 00:00:00.000,GT_BM_CA_CA_00,,True
1142,GT_BM_CC_CC8_00_21,GT,BM,SUPER,CC,,CARTERA,CC8,00,21,03-MENS,CC8 Archivo de Registro y Actualización de Garantías,,,JM-47-2022,,,GT_BM_CC_CC8_00,,True
1143,GT_BM_CC_CC9_00_21,GT,BM,SUPER,CC,,CARTERA,CC9,00,21,03-MENS,CC9 Archivo de Valuación de Activos Crediticios y Otros Activos Crediticios,,,JM-47-2022,,,GT_BM_CC_CC9_00,,True
307,GT_BM_CC1_CC1_00_22,GT,BM,SUPER,CC1,,CARTERA,CC1,00,22,03-MENS,CC1 INFORMACIÓN DE CRÉDITOS NUEVOS,NULL,,JM-47-2022,2023-02-01 00:00:00.000,2023-02-01 00:00:00.000,GT_BM_CC1_CC1_00,,True
308,GT_BM_CC2_CC2_00_22,GT,BM,SUPER,CC2,,CARTERA,CC2,00,22,03-MENS,CC2 INFORMACIÓN DE REGISTRO Y ACTUALIZACIÓN DE PERSONAS,NULL,,JM-47-2022,2023-02-01 00:00:00.000,2023-02-01 00:00:00.000,GT_BM_CC2_CC2_00,,True
